ds,yhat,yhat_lower,yhat_upper,Type
2023-06-08,4403.100225646661,-738.9993875039584,9238.637111271126,Past
2023-06-09,4651.375764049377,-420.1923490645726,9767.608029621284,Past
2023-06-10,4806.99222736379,-437.7576321173002,10045.07123874328,Past
2023-06-11,4288.861091776062,-1462.4423644462747,9991.198977505599,Past
2023-06-12,5270.596744643749,149.9266754669201,10668.525323956874,Past
2023-06-13,5121.953750829949,-76.5857176584279,10839.77991839467,Past
2023-06-14,5364.3499457138605,254.60684673543258,10552.4486713205,Past
2023-06-15,4988.545999203946,-834.1250893439712,10078.821101532249,Past
2023-06-16,5231.9172091338205,-502.33997350521076,10400.826490877293,Past
2023-06-17,5367.982882338093,-24.125525838494497,10721.239206897033,Past
2023-06-18,4816.437440613296,-511.845890282527,10422.339081646316,Past
2023-06-19,5751.99597787269,732.3770376646387,10898.709609563999,Past
2023-06-20,5545.798927428264,263.40920232315005,10795.54263248088,Past
2023-06-21,5720.896105814094,813.5224196395113,11215.758643629353,Past
2023-06-22,5269.881880850747,-21.179449257107997,10775.48055864795,Past
2023-06-23,5432.118443232292,-318.93628958571543,10539.99549405354,Past
2023-06-24,5483.213844267488,79.29839971277856,10387.127909406521,Past
2023-06-25,4845.000289266439,-155.4849873560147,9902.43001878871,Past
2023-06-26,5694.3267765832725,308.9495234013268,10888.593916299811,Past
2023-06-27,5404.412080635521,65.310736524989,10676.09178955453,Past
2023-06-28,5500.279625213342,497.31083931609726,10842.370543701887,Past
2023-06-29,4976.347184895515,-499.7192888803483,10183.75523413103,Past
2023-06-30,5073.609458718995,-33.458700950747634,10295.193057579048,Past
2023-07-01,5069.081102696089,-639.7308117921657,10463.20586083668,Past
2023-07-02,4385.746462595469,-477.23103668486,9795.92202923302,Past
2023-07-03,5201.330666692017,32.470772967189625,10405.283513586592,Past
2023-07-04,4889.63845102226,-379.7309928800867,10007.604219957635,Past
2023-07-05,4975.982437444992,-276.8008137401324,9938.77224806876,Past
2023-07-06,4454.773773960931,-771.1403154884748,9495.219042280161,Past
2023-07-07,4566.71296194766,-647.9954101649523,9845.415514990964,Past
2023-07-08,4588.248047047122,-634.6935154025034,9959.26612254975,Past
2023-07-09,3941.5458398788255,-822.3759324385023,9111.056022267396,Past
2023-07-10,4803.290099297678,-398.17707356310535,9992.97385630048,Past
2023-07-11,4546.052197067263,-837.7690514623321,9786.766718306306,Past
2023-07-12,4693.755029605737,-963.9954671878937,10283.892315639696,Past
2023-07-13,4239.302058798982,-894.405713906709,9448.590173065933,Past
2023-07-14,4421.808235619826,-634.8898962809496,9767.88572539128,Past
2023-07-15,4516.098898966783,-1221.0424284895066,9717.94358213325,Past
2023-07-16,3942.7212474881226,-1119.6704433489722,9206.310106751163,Past
2023-07-17,4876.781293134146,-106.9659098564311,9687.610691451291,Past
2023-07-18,4689.350862102836,-267.6926244222528,10482.993456180238,Past
2023-07-19,4902.964550145409,-196.04123952993646,9881.213492534554,Past
2023-07-20,4509.27777064552,-615.1533323789945,9634.59918964869,Past
2023-07-21,4746.322037711711,-623.2310138229751,9761.514063305192,Past
2023-07-22,4888.023109168026,-114.16967805539683,9740.124962329071,Past
2023-07-23,4354.22627427193,-404.9046390950587,9603.99853094372,Past
2023-07-24,5319.541536888876,263.3914878967019,10553.319584012364,Past
